"","group","delivery_method","total","total_all_groups","percentage"
"1","group_1","BIKE",81263,109165,74.44
"2","group_1","CAR",3208,109165,2.94
"3","group_1","GENERAL_BICYCLES",3821,109165,3.5
"4","group_1","KICKBOARD",1304,109165,1.19
"5","group_1","PAS_BICYCLES",9855,109165,9.03
"6","group_1","THROTTLE_BICYCLES",5206,109165,4.77
"7","group_1","WALK",4508,109165,4.13
"8","group_2","BIKE",110487,139976,78.93
"9","group_2","CAR",8808,139976,6.29
"10","group_2","GENERAL_BICYCLES",2611,139976,1.87
"11","group_2","KICKBOARD",822,139976,0.59
"12","group_2","PAS_BICYCLES",8069,139976,5.76
"13","group_2","THROTTLE_BICYCLES",3226,139976,2.3
"14","group_2","WALK",5953,139976,4.25
"15","group_3","BIKE",4675594,5376059,86.97
"16","group_3","CAR",104103,5376059,1.94
"17","group_3","GENERAL_BICYCLES",58728,5376059,1.09
"18","group_3","KICKBOARD",20243,5376059,0.38
"19","group_3","PAS_BICYCLES",220357,5376059,4.1
"20","group_3","THROTTLE_BICYCLES",137187,5376059,2.55
"21","group_3","WALK",159847,5376059,2.97
